cupping_id,total_cup_points,grading_date,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,category_two_defects
0020,87.25,2015-03-25,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,0,0,0,8
0021,87.25,2015-03-13,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,0,0,0,0
0022,87.17,,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,0.11,0,0,2
0023,87.17,2012-07-26,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,0.13,0,0,0
0024,87.08,2015-03-13,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,0,0,0,0
0025,87.08,,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,0.11,0,0,1
0026,86.92,,8.5,8.5,8,8,8,8,10,10,10,7.92,0.12,0,0,2
0027,86.92,2010-06-16,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,0.05,0,0,2
0028,86.83,2014-06-26,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,0.12,0,0,1
0029,86.67,2017-05-18,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,0.1,0,0,3
0030,86.58,2016-05-18,8,8,8,8.25,8,8.17,10,10,10,8.17,0,0,0,0
0031,86.58,2010-05-18,7.92,8.25,8,8.33,8,8.08,10,10,10,8,0.08,0,0,2
0032,86.5,,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,0.11,0,0,1
0033,86.42,,8.5,8.17,8,7.75,8,8,10,10,10,8,0.12,0,0,2
0034,86.33,,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,0,0,0,0
0035,86.25,2015-03-27,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,0.1,0,0,3
0036,86.25,2014-05-30,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,0.12,0,0,1
0037,86.25,2012-04-06,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,0,1,0,4
0038,86.25,2011-01-28,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,0,2,0,1
0039,86.25,2010-06-17,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,0.1,0,0,2
0040,86.17,2015-03-13,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,0,0,0,0
0041,86.17,2012-04-12,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,0.1,1,0,9
0042,86.17,2011-01-04,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,0.08,0,0,2
0043,86.17,2011-01-04,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,0.01,0,0,3
0044,86.08,2015-06-10,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,0.12,0,0,0
0045,86.08,2015-01-29,8.08,8.08,8,8,7.83,8.08,10,10,10,8,0.11,0,0,2
0046,86.08,,8.33,8,8,8,7.75,8,10,10,10,8,0.11,0,0,2
0047,86,2014-10-01,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,0,0,0,0
0048,86,2014-03-20,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,0.12,1,0,1
0049,86,2014-02-06,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,0.11,0,0,1
0050,86,2012-02-13,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,0.1,0,0,0
0051,86,2010-06-17,7.75,8.08,8,8.25,8,8,10,10,10,7.92,0.01,0,0,4
0052,86,2010-05-31,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,0,0,0,0
0053,85.92,2016-05-16,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,0.1,0,1,3
0054,85.92,2014-06-30,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,0.12,0,0,0
0055,85.92,2013-07-26,8,8,8,8.17,7.83,8,10,10,10,7.92,0,1,0,0
0056,85.83,2017-10-09,8,8,7.92,8.08,7.83,8,10,10,10,8,0.08,0,1,0
0057,85.83,2015-04-04,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,0.1,0,0,4
0058,85.83,,7.83,8,8,8.17,7.83,8,10,10,10,8,0.12,0,0,3
0059,85.83,2012-06-05,8,8,7.83,8.33,7.83,7.83,10,10,10,8,0.1,0,0,1
0060,85.75,,7.83,8,7.83,8.17,7.92,8,10,10,10,8,0.09,0,4,7
0061,85.75,,8,8,8,8.08,7.92,7.75,10,10,10,8,0.1,4,0,6
0062,85.75,2012-10-25,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,0.12,0,0,1
0063,85.58,2013-03-18,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,0.1,0,0,3
0064,85.58,2013-01-12,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,0.11,0,0,0
0065,85.58,2012-04-06,7.83,8,7.92,7.75,8.08,8,10,10,10,8,0,0,0,1
0066,85.5,,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,0.09,2,0,2
0067,85.5,,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,0.1,0,0,3
0068,85.5,2015-03-31,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,0.12,0,0,7
0069,85.5,2014-06-26,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,0.12,0,0,1
0070,85.5,2013-02-26,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,0.11,0,0,1
0071,85.42,2015-03-31,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,0.1,0,0,18
0072,85.42,2014-06-26,8.08,8,7.83,7.67,8,7.83,10,10,10,8,0.12,0,0,5
0073,85.42,2012-04-06,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,0,4,0,6
0074,85.42,,8,8,8,7.67,7.75,8,10,10,10,8,0.11,0,0,1
0075,85.42,2010-05-31,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,0.01,0,0,0
0076,85.33,2016-04-06,8,8,8,7.83,7.83,7.75,10,10,10,7.92,0.1,0,0,0
0077,85.33,,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,0.11,0,0,1
0078,85.33,2014-05-01,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,0,0,0,0
0079,85.33,2014-05-01,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,0.1,0,0,2
0080,85.33,2013-04-19,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,0,0,0,2
0081,85.33,2013-03-12,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,0,0,0,6
0082,85.33,2010-06-17,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,0.05,0,0,2
0083,85.33,2010-06-17,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,0.1,0,0,3
0084,85.25,2016-04-27,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,0.1,0,2,2
0085,85.25,2015-04-08,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,0.11,0,0,0
0086,85.25,2014-01-17,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,0.12,0,0,2
0087,85.17,2012-11-26,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,0.11,0,0,3
0088,85.17,2012-01-18,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,0,0,0,7
0089,85.08,2016-08-09,7.75,8,7.58,8,8,7.92,10,10,10,7.83,0.11,0,1,8
0090,85.08,2015-08-18,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,0,0,0,0
0091,85.08,2014-10-07,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,0.1,2,0,7
0092,85.08,2014-03-10,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,0.11,2,0,2
0093,85.08,2012-03-16,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,0.11,0,0,8
0094,85.08,2010-12-27,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,0.01,1,0,7
0095,85.08,2010-06-17,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,0,0,0,5
0096,85.08,2010-05-17,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,0,0,0,0
0097,85,2017-07-24,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,0.11,0,0,1
0098,85,2017-02-15,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,0,0,0,3
0099,85,2017-01-30,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,0.12,1,1,1
0100,85,2016-09-21,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,0.09,0,0,3
0101,85,2016-05-07,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,0.11,0,5,7
0102,85,2013-04-19,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,0,0,0,5
0103,85,2012-02-29,8,8,7.83,7.83,7.67,7.67,10,10,10,8,0.12,0,0,3
0104,85,2011-04-06,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,0,0,0,0
0105,85,2011-02-24,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,0,0,0,1
0106,85,2010-09-07,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,0.04,0,0,1
0107,84.92,2016-11-25,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,0,1,6,2
0108,84.92,2015-10-26,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,0.12,0,0,1
0109,84.92,2015-06-09,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,0.11,0,0,0
0110,84.92,2014-12-12,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,0.12,0,0,2
0111,84.92,2012-12-11,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,0.11,0,0,3
0112,84.92,2012-07-11,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,0.11,0,0,0
0113,84.92,,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,0.11,0,0,2
0114,84.92,,8,8,7.75,8,7.5,7.75,10,10,10,7.92,0.12,0,0,2
0115,84.92,2010-08-26,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,0.06,1,0,9
0116,84.83,2016-05-18,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,0,0,0,0
0117,84.83,2014-06-30,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,0.12,0,0,1
0118,84.83,2012-04-06,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,0,3,0,15
0119,84.83,2010-06-17,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,0.1,0,0,2
0120,84.83,2010-06-17,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,0.1,0,0,4
0121,84.75,2016-06-27,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,0.12,0,0,0
0122,84.75,,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,0.13,0,0,0
0123,84.75,2014-04-25,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,0.11,0,0,4
0124,84.75,,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,0.15,0,0,3
0125,84.75,2010-05-31,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,0.18,0,0,2
0126,84.67,2017-06-26,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,0,0,0,2
0127,84.67,2016-11-24,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,0.12,0,0,7
0128,84.67,,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,0.12,0,0,0
0129,84.67,2016-10-04,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,0.1,0,0,2
0130,84.67,2016-06-01,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,0.1,0,0,1
0131,84.67,2015-07-06,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,0.12,0,0,0
0132,84.67,,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,0.1,0,0,3
0133,84.67,,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,0.08,0,0,1
0134,84.67,2014-03-05,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,0.11,0,0,4
0135,84.67,,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,0,1,0,10
0136,84.67,2013-12-26,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,0.11,0,0,0
0137,84.67,2013-12-20,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,0,0,0,0
0138,84.67,2012-09-16,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,0.11,0,0,0
0139,84.67,2012-07-17,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,0.11,0,0,4
0140,84.67,,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,0.12,0,0,4
0141,84.67,,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,0.13,0,0,3
0142,84.67,2012-02-13,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,0.11,0,0,3
0143,84.67,2011-06-14,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92,0,0,0,3
0144,84.67,2010-06-17,7.42,7.75,7.75,8,8,7.92,10,10,10,7.83,0.2,0,0,3
0145,84.58,2018-01-11,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,0.11,0,0,5
0146,84.58,2017-01-10,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,0,0,0,4
0147,84.58,2016-12-28,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,0,0,1,5
0148,84.58,2014-07-21,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,0.1,0,0,2
0149,84.58,2014-05-29,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,0.11,0,0,1
0150,84.58,2014-03-24,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,0.09,0,0,0
0151,84.58,2013-12-20,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,0,0,0,0
0152,84.58,2013-12-06,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,0,0,0,5
0153,84.58,2013-08-30,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,0,0,0,0
0154,84.58,2013-07-17,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,0,0,0,2
0155,84.58,2013-03-12,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,0.12,0,0,2
0156,84.58,2012-10-09,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,0.11,0,0,6
0157,84.58,,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,0.12,0,0,2
0158,84.58,,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,0.11,0,0,1
0159,84.5,2017-11-28,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,0.1,0,0,2
0160,84.5,2017-03-14,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,0.11,0,0,1
0161,84.5,2016-04-06,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,0.1,0,0,1
0162,84.5,2015-07-06,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,0.11,0,0,0
0163,84.5,2015-06-05,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,0.12,1,0,0
0164,84.5,2014-06-16,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,0,0,0,2
0165,84.5,2013-02-26,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,0.11,0,0,2
0166,84.5,2012-09-16,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,0.11,0,0,0
0167,84.5,2012-07-11,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,0.12,0,0,0
0168,84.5,2012-06-06,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,0.11,0,0,4
0169,84.5,2012-02-16,7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,0.11,0,0,2
0170,84.5,,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,8.13,0,0,0,4
0171,84.5,,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,7.75,0,2,0,0
0172,84.42,,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,0.1,0,0,3
0173,84.42,2017-03-14,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,0,0,0,3
0174,84.42,2016-01-25,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,0,0,0,1
0175,84.42,2014-07-09,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,0,0,0,3
0176,84.42,2013-07-10,7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,0.11,0,0,0
0177,84.42,2013-01-21,7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,0.11,0,0,1
0178,84.42,2012-06-06,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,0.12,2,0,4
0179,84.42,2010-06-17,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,7.75,0.2,0,0,2
0180,84.33,,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,0.11,0,0,4
0181,84.33,2017-05-11,7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,0.1,0,0,3
0182,84.33,2017-02-20,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,0,0,3,5
0183,84.33,2016-04-04,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,0.11,0,1,2
0184,84.33,2016-02-16,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,7.83,0,0,2,4
0185,84.33,2015-04-29,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,0.11,6,0,0
0186,84.33,2013-07-19,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,0,0,0,0
0187,84.33,2012-07-27,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,0.12,0,0,1
0188,84.33,2011-10-28,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,0,0,0,4
0189,84.33,2011-10-28,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,0.02,0,0,2
0190,84.33,2011-06-14,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,0,0,0,1
0191,84.33,2010-04-30,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92,0.04,1,0,1
0192,84.25,2017-08-10,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,0.12,0,0,0
0193,84.25,,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,0.12,0,0,0
0194,84.25,2016-08-05,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,0.11,0,0,2
0195,84.25,,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,0.11,0,4,4
0196,84.25,2016-04-06,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,0.1,0,0,1
0197,84.25,2016-04-06,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,0.1,0,0,1
0198,84.25,2015-11-19,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,0.11,0,0,3
0199,84.25,2015-10-26,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,0.12,4,0,2
0200,84.25,2015-06-05,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,0.12,0,0,0
0201,84.25,2015-04-29,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,0.12,3,0,0
0202,84.25,2014-12-12,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,0.12,0,0,7
0203,84.25,2014-12-12,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,0.12,0,0,2
0204,84.25,2014-08-21,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,0.1,0,0,1
0205,84.25,2013-10-01,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,0.11,0,0,2
0206,84.25,2012-12-11,7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,0.11,1,0,1
0207,84.25,2012-09-11,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,0.12,0,0,1
0208,84.25,2012-04-09,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,0.12,0,0,0
0209,84.25,,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,0.1,0,0,4
0210,84.25,2012-02-13,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,0.13,4,0,29
0211,84.17,2017-06-01,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,0.13,0,0,1
0212,84.17,2016-08-19,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,0,0,0,2
0213,84.17,2016-08-19,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,0.09,0,0,2
0214,84.17,,7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,0.11,0,0,6
0215,84.17,2016-06-01,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,0.1,0,1,10
0216,84.17,2016-06-01,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,0.1,0,0,2
0217,84.17,2015-08-18,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,0,0,0,0
0218,84.17,,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,0.12,0,0,0
0219,84.17,2015-04-24,7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,0,0,0,16
0220,84.17,2015-04-10,7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,0,0,0,0
0221,84.17,2015-03-26,7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,0.1,0,0,5
0222,84.17,2014-12-12,7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67,0.13,0,0,0
0223,84.17,2014-10-15,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,0.12,0,0,4
0224,84.17,2014-07-16,7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,7.83,0.11,0,0,0
0225,84.17,2013-11-07,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,0.08,0,0,0
0226,84.17,2013-05-20,7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,0.11,0,0,3
0227,84.17,2013-05-09,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,0.11,0,0,4
0228,84.17,2013-03-18,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,0.11,0,0,2
0229,84.17,2012-10-19,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,0,0,0,2
0230,84.17,2012-03-26,7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67,0.11,0,0,2
0231,84.17,2012-02-13,7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,0.11,0,0,1
0232,84.13,2017-05-24,7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,7.75,0.12,0,0,0
0233,84.08,2017-11-09,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,0,1,3,3
0234,84.08,2016-05-18,7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,0.1,0,0,4
0235,84.08,2016-04-27,8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,0.1,0,0,4
0236,84.08,2014-11-05,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,0,0,0,2
0237,84.08,2014-06-16,7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,0.1,0,0,10
0238,84.08,2013-01-24,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,8,0.11,1,0,9
0239,84.08,2012-09-04,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,0.11,1,0,10
0240,84.08,2012-08-17,7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,7.92,0.09,0,0,15
0241,84,2018-01-11,7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67,0.08,1,2,13
0242,84,2017-06-05,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,0.11,3,11,1
0243,84,2017-05-11,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,0.1,0,0,5
0244,84,2015-06-10,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,0.12,0,0,7
0245,84,2014-12-18,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,0.11,2,0,7
0246,84,2014-08-08,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,0.1,0,0,1
0247,84,2014-06-27,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,0.1,0,0,0
0248,84,2014-05-27,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,0.12,0,0,0
0249,84,2014-05-27,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,0.12,0,0,0
0250,84,2014-04-08,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,0.12,0,0,3
0251,84,2014-01-17,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,0.09,4,0,40
0252,84,,7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,0.1,0,0,0
