coffee_bean_id,country_of_origin,expiration,region,harvest_year,variety,species_id,method_id
0083,Uganda,July 24th  2018,eastern uganda,2016,SL14,0001,0001
0084,Colombia,February 15th  2018,huila,2016,Caturra,0001,0001
0085,Costa Rica,January 30th  2018,tarrazu,2016,Catuai,0001,0001
0086,Mexico,September 21st  2017,veracruz,2015,Typica,0001,0001
0087,Kenya,May 7th  2017,NA,2015,NA,0001,0001
0088,Brazil,February 28th  2013,grama valley,2012,Mundo Novo,0001,0003
0089,Mexico,April 5th  2012,mexico,2010,Pacamara,0001,0002
0090,United States (Hawaii),February 24th  2012,kona,NA,NA,0001,0002
0091,Guatemala,September 7th  2011,chuva  san marcos,2009,NA,0001,0002
0092,Colombia,November 25th  2017,huila,2016,Caturra,0001,0001
0093,Colombia,October 25th  2016,huila,2015,Caturra,0001,0001
0094,Taiwan,June 8th  2016,natou county,2015,Typica,0001,0005
0095,Tanzania  United Republic Of,December 12th  2015,mbeya,2014,Other,0001,0001
0096,Colombia,December 11th  2013,huila,2012,Caturra,0001,0001
0097,Mexico,July 11th  2013,coatepec,2012,Typica,0001,0005
0098,Brazil,December 22nd  2012,south of minas,2011,Bourbon,0001,0003
0099,Brazil,December 2nd  2012,south of minas,2011,Catuai,0001,0003
0100,Kenya,August 26th  2011,NA,2009,NA,0001,0002
0101,Taiwan,May 18th  2017,dongshan dist.  tainan city 臺南市東山區,2016,Typica,0001,0003
0102,Thailand,June 27th  2017,thailand,2015,Caturra,0001,0004
0103,Kenya,June 1st  2016,nyeri,2014,SL34,0001,0001
0104,Honduras,April 25th  2015,marcala,2014,Catuai,0001,0001
0105,El Salvador,August 22nd  2012,santa ana,2010,NA,0001,0002
0106,Nicaragua,May 31st  2011,jinotega,2009,NA,0001,0002
0107,El Salvador,June 26th  2018,apaneca,2016,Bourbon,0001,0001
0108,Indonesia,November 24th  2017,temanggung  indonesia,2016,Java,0001,0001
0109,Japan,November 2nd  2017,ada okinawa japan,NA,Mundo Novo,0001,0004
0110,Costa Rica,October 4th  2017,tarrazu,2015,Catuai,0001,0001
0111,Guatemala,June 1st  2017,acatenango,2015,Bourbon,0001,0001
0112,Costa Rica,July 5th  2016,tarrazu,2014,Caturra,0001,0001
0113,Ethiopia,May 22nd  2016,yirgacheffe,2014,Ethiopian Yirgacheffe,0001,0001
0114,Costa Rica,May 22nd  2016,costa rica,2014,Other,0001,0006
0115,Costa Rica,March 5th  2015,west valley,2014,Catuai,0001,0001
0116,Costa Rica,January 3rd  2015,NA,2012,NA,0001,0001
0117,Taiwan,December 26th  2014,taichung xinshe 台中市新社區,2013,Typica,0001,0001
0118,Colombia,December 20th  2014,santander,2013,Caturra,0001,0001
0119,Kenya,September 16th  2013,nyeri,2012,SL28,0001,0001
0120,Guatemala,July 17th  2013,oriente,2012,Bourbon,0001,0001
0121,Mexico,July 2nd  2013,el remudadero,2012,Typica,0001,0001
0122,Uganda,February 12th  2013,mbale,2012,Other,0001,0001
0123,Peru,June 13th  2012,penachi  cecanor,NA,NA,0001,0002
0124,Kenya,January 11th  2019,nyeri,NA,SL34,0001,0001
0125,Colombia,January 10th  2018,santander,2016,Other,0001,0001
0126,Colombia,December 28th  2017,huila,2016,Caturra,0001,0001
0127,Kenya,July 21st  2015,nyeri,2013,Peaberry,0001,0001
0128,Guatemala,May 29th  2015,jalapa,2014,Pacas,0001,0001
0129,Guatemala,March 24th  2015,oriente,2014,Bourbon,0001,0001
0130,Colombia,December 6th  2014,huila,2013,Caturra,0001,0001
0131,Kenya,August 30th  2014,NA,2013,SL28,0001,0001
0132,Colombia,July 17th  2014,huila,2012,Caturra,0001,0001
0133,Costa Rica,March 12th  2014,tres rios,2012,Bourbon,0001,0005
0134,Colombia,October 9th  2013,huila,2012,Caturra,0001,0001
0135,Brazil,December 22nd  2012,vale da grama,2011,Bourbon,0001,0005
0136,Brazil,December 2nd  2012,mountains of minas gerais,2011,Catuai,0001,0005
0137,Costa Rica,November 28th  2018,valle central,2017,Caturra,0001,0001
0138,Uganda,March 14th  2018,eastern uganda,2016,SL14,0001,0001
0139,China,April 6th  2017,yunnan,2015,Catimor,0001,0001
0140,Colombia,June 4th  2016,cauca,2015,Other,0001,0001
0141,China,June 16th  2015,yunnan,2013,Other,0001,0001
0142,Guatemala,February 26th  2014,oriente,2013,Bourbon,0001,0001
0143,Mexico,July 11th  2013,hustusco,2012,Typica,0001,0001
0144,Mexico,June 6th  2013,jaltenango,2012,Typica,0001,0001
0145,Guatemala,February 15th  2013,el tumbador  san marcos,2012,Bourbon,0001,0001
0146,Brazil,March 22nd  2012,mmm,,NA,0001,0002
0147,Brazil,March 21st  2012,,,NA,0001,0002
0148,Costa Rica,March 23rd  2018,tarrazu,2016,Caturra,0001,0001
0149,Indonesia,March 14th  2018,sumatra brastagi,2017,Mandheling,0001,0006
0150,Colombia,January 24th  2017,pitalito,2015,Caturra,0001,0003
0151,Colombia,July 9th  2015,huila,2014,Caturra,0001,0001
0152,Taiwan,July 10th  2014,mountain ali  taiwan,2012,Typica,0001,0001
0153,United States (Hawaii),January 21st  2014,kona,2012,Hawaiian Kona,0001,0003
0154,Mexico,June 6th  2013,tapachula,2012,Pacamara,0001,0001
0155,Ethiopia,June 17th  2011,limu,2009,NA,0001,0002
0156,Kenya,August 3rd  2018,nyeri,2017,SL28,0001,0001
0157,Honduras,May 11th  2018,comayagua,2016,Caturra,0001,0002
0158,Colombia,February 20th  2018,huila,2016,Caturra,0001,0001
0159,Honduras,April 4th  2017,central region,2016,Catuai,0001,0001
0160,Colombia,February 15th  2017,la plata,2016,NA,0001,0002
0161,Colombia,April 28th  2016,huila,2015,Caturra,0001,0003
0162,Colombia,July 19th  2014,huila,2013,Caturra,0001,0001
0163,Mexico,July 27th  2013,tuxtla gutierrez,2012,Typica,0001,0001
0164,Brazil,October 27th  2012,vale da grama,2011,Yellow Bourbon,0001,0002
0165,Brazil,October 27th  2012,south of minas,2011,NA,0001,0002
0166,Ethiopia,June 13th  2012,limu,NA,NA,0001,0002
0167,Guatemala,April 30th  2011,nuevo oriente,2009,NA,0001,0002
0168,Taiwan,August 10th  2018,國姓鄉 guoshing township,2016,Typica,0001,0001
0169,Thailand,November 2nd  2017,chiang rai thailand,2015,Catimor,0001,0003
0170,Colombia,August 5th  2017,nariño,2016,Caturra,0001,0003
0171,Guatemala,May 23rd  2017,antigua,2016,Caturra,0001,0001
0172,Guatemala,April 6th  2017,huehuetenango,2015,Caturra,0001,0001
0173,Colombia,November 18th  2016,huila,2015,Caturra,0001,0001
0174,Tanzania  United Republic Of,December 12th  2015,shizingo village,2014,Other,0001,0001
0175,Guatemala,August 21st  2015,oriente,2014,Bourbon,0001,0006
0176,Colombia,October 1st  2014,cauca,2013,Caturra,0001,0001
0177,United States (Hawaii),December 11th  2013,kona,2012,Hawaiian Kona,0001,0003
0178,Mexico,September 11th  2013,san pedro cotzilnam,2012,Typica,0001,0005
0179,Mexico,April 9th  2013,veracruz,2012,Bourbon,0001,0001
0180,Mexico,April 2nd  2013,la concordia  chiapas,2012,Bourbon,0001,0001
0181,Uganda,February 12th  2013,kasese,2012,Other,0001,0003
0182,Guatemala,June 1st  2018,san marcos,2017,Bourbon,0001,0001
0183,Colombia,August 19th  2017,huila,2016,Caturra,0001,0001
0184,Costa Rica,August 19th  2017,tarrazu,2016,Caturra,0001,0001
0185,Guatemala,June 23rd  2017,huehuetenango,2016,Caturra,0001,0001
0186,Guatemala,June 1st  2017,solola,2016,Caturra,0001,0001
0187,Guatemala,June 1st  2017,norte,2016,Bourbon,0001,0001
0188,Colombia,August 17th  2016,huila,2015,Caturra,0001,0001
0189,Nicaragua,August 2nd  2016,jinotega,2015,Caturra,0001,0003
0190,Brazil,April 23rd  2016,cerrado,2015,Catuai,0001,0003
0191,Costa Rica,April 9th  2016,tarrazu,2014,Caturra,0001,0001
0192,Ethiopia,March 25th  2016,snnprg; kafa; telo woreda; shada kebele,2014,Gesha,0001,0003
0193,Tanzania  United Republic Of,December 12th  2015,arusha,2014,Other,0001,0001
0194,Colombia,October 15th  2015,huila,2014,Other,0001,0001
0195,Guatemala,July 16th  2015,NA,2013,NA,0001,0001
0196,Kenya,November 7th  2014,kenya,2013,SL28,0001,0001
0197,Brazil,May 20th  2014,minas gerais  br,2012,Mundo Novo,0001,0003
0198,Guatemala,May 9th  2014,oriente,2013,Bourbon,0001,0001
0199,El Salvador,March 18th  2014,apaneca,2013,Bourbon,0001,0003
0200,Colombia,October 19th  2013,huila,2012,Caturra,0001,0001
0201,Guatemala,March 26th  2013,guatemala,2012,Catuai,0001,0003
0202,Uganda,February 12th  2013,mt. rwenzori,2012,Other,0001,0001
0203,Indonesia,May 24th  2018,aceh tengah,2017,Mandheling,0001,0003
0204,Colombia,November 9th  2018,huila,2017,Caturra,0001,0001
0205,Taiwan,May 18th  2017,nanxi dist.  tainan city 臺南市楠西區,2016,Typica,0001,0001
0206,Guatemala,April 27th  2017,oriente,2016,Bourbon,0001,0001
0207,Colombia,November 5th  2015,huila,2014,Caturra,0001,0001
0208,Guatemala,June 16th  2015,aldea xeucalvitz  ixil region  quiche department,2014,Bourbon,0001,0001
0209,United States (Hawaii),January 24th  2014,kona,2012,Hawaiian Kona,0001,0003
0210,Mexico,September 4th  2013,santo domingo cacalotepec,2012,Typica,0001,0001
0211,Ethiopia,August 17th  2013,ethiopia  sidamo,2012,Other,0001,0003
0212,Costa Rica,January 11th  2019,NA,2017,NA,0001,0001
0213,Ethiopia,June 5th  2018,sidamo,2017,Gesha,0001,0003
0214,Honduras,May 11th  2018,comayagua,2017,Caturra,0001,0001
0215,Guatemala,June 9th  2016,huehuetenango,2015,Caturra,0001,0001
0216,Colombia,December 18th  2015,huila,2014,Other,0001,0001
0217,Guatemala,August 8th  2015,oriente,2014,Bourbon,0001,0003
0218,Guatemala,June 27th  2015,oriente,2014,Bourbon,0001,0006
0219,Colombia,May 27th  2015,huila,2014,NA,0001,0001
0220,Colombia,May 27th  2015,santander,2014,Caturra,0001,0003
0221,Colombia,April 8th  2015,huila,2014,Caturra,0001,0001
0222,Ethiopia,January 17th  2015,sidamo,2013,Other,0001,0003
0223,Brazil,January 2nd  2015,south of minas,2013,Yellow Bourbon,0001,0003
0224,Colombia,June 21st  2014,cauca,2013,Caturra,0001,0001
0225,Kenya,March 8th  2014,blend,2012,SL34,0001,0001
0226,Thailand,June 21st  2013,thailand,2012,Other,0001,0001
0227,Kenya,May 31st  2013,central kenya,2012,SL28,0001,0001
0228,Uganda,February 12th  2013,kasese,2012,Other,0001,0001
0229,Thailand,August 15th  2012,NA,2011,NA,0001,0002
0230,Brazil,October 20th  2018,south of minas,2017,Bourbon,0001,0003
0231,Mexico,July 3rd  2018,veracruz,2017,Mundo Novo,0001,0001
0232,Thailand,October 18th  2017,chiangrai,2015,Catimor,0001,0003
0233,Brazil,August 16th  2017,south of minas,2016,Bourbon,0001,0003
0234,Taiwan,May 18th  2017,leye  alishan township  chiayi county 嘉義阿里山樂野村,2015,Typica,0001,0001
0235,Colombia,February 10th  2017,huila,2016,NA,0001,0002
0236,Colombia,January 20th  2017,la plata,2016,NA,0001,0002
0237,Taiwan,November 6th  2016,台灣,2014,NA,0001,0003
0238,Colombia,August 17th  2016,huila,2015,NA,0001,0001
0239,Colombia,March 11th  2016,huila,2014,NA,0001,0001
0240,Colombia,December 12th  2015,huila,2014,Caturra,0001,0001
0241,Taiwan,November 23rd  2015,台中和平區,2014,Typica,0001,0001
0242,Mexico,July 3rd  2013,xicotepec de juarez,2012,Typica,0001,0001
0243,Mexico,June 6th  2013,la concordia,2012,Typica,0001,0001
0244,Mexico,April 2nd  2013,la yerbabuena,2012,Typica,0001,0001
0245,Colombia,June 30th  2018,nariño,2017,Caturra,0001,0001
0246,Colombia,March 14th  2018,huila,2016,Caturra,0001,0002
0247,Costa Rica,June 6th  2017,tarrazu,2015,Caturra,0001,0001
0248,Guatemala,May 23rd  2017,antigua,2016,Bourbon,0001,0001
0249,Taiwan,February 22nd  2017,台灣,2016,NA,0001,0002
0250,Brazil,October 7th  2016,south of minas,2015,Yellow Bourbon,0001,0003
0251,Taiwan,April 29th  2016,dongshan dist.  tainan city 臺南市東山區,2014,Typica,0001,0001
0252,Ethiopia,March 30th  2016,oromia,2014,NA,0001,0003
0253,Brazil,October 16th  2015,south of minas,2014,Bourbon,0001,0005
0254,Costa Rica,June 9th  2015,central valley,2013,Catuai,0001,0001
0255,Guatemala,May 22nd  2015,oriente,2014,Bourbon,0001,0001
0256,Brazil,December 26th  2014,south of minas,2013,Yellow Bourbon,0001,0003
0257,Ecuador,October 4th  2014,province of manabi  ecuador,2013,NA,0001,0003
0258,Colombia,September 3rd  2014,huila,2013,Caturra,0001,0001
0259,Guatemala,April 26th  2014,oriente,2013,Bourbon,0001,0001
0260,Mexico,July 26th  2013,petatlan,2012,Bourbon,0001,0003
0261,Mexico,June 6th  2013,la concordia  chiapas,2012,Pacas,0001,0003
0262,Brazil,December 20th  2012,carmo de minas,2011,Yellow Bourbon,0001,0005
0263,Thailand,September 19th  2012,doi chaang village  chiang rai  thialand,2011,NA,0001,0002
0264,Kenya,January 11th  2019,nyeri,NA,SL28,0001,0001
0265,Colombia,September 28th  2018,huila,2017,Caturra,0001,0001
0266,Taiwan,June 6th  2018,台南市東山區 (dongshan dist.  tainan city),2016,Typica,0001,0003
0267,Colombia,February 15th  2018,huila,2016,NA,0001,0001
0268,Colombia,November 26th  2016,huila,2015,Caturra,0001,0003
0269,Uganda,June 30th  2015,west nile,2013,Bourbon,0001,0003
0270,United States (Puerto Rico),June 9th  2015,yauco region,2013,Other,0001,0001
0271,Colombia,February 5th  2015,huila,2014,Caturra,0001,0001
0272,Colombia,January 24th  2015,huila,2014,Other,0001,0001
0273,Colombia,November 22nd  2014,huila,2013,Caturra,0001,0001
0274,Colombia,August 27th  2014,huila,2013,Caturra,0001,0001
0275,United States (Hawaii),May 2nd  2014,kona,2013,Hawaiian Kona,0001,0003
0276,Mexico,September 27th  2013,huazalingo  hidalgo,2012,Caturra,0001,0003
0277,Guatemala,May 24th  2013,quetzaltenango,2012,Caturra,0001,0001
0278,Colombia,April 19th  2012,cauca,2011,NA,0001,0002
0279,Colombia,February 9th  2012,cundinamarca,2010,NA,0001,0002
0280,United States (Hawaii),June 29th  2011,kona,NA,NA,0001,0002
0281,Kenya,September 1st  2018,meru county,2017,SL28,0001,0001
0282,Honduras,May 11th  2018,comayagua,2016,Caturra,0001,0001
0283,Nicaragua,May 11th  2018,jinotega,2016,Caturra,0001,0001
0284,Taiwan,May 18th  2017,leye  alishan township  chiayi county,2015,Caturra,0001,0003
0285,Costa Rica,March 14th  2017,west valley,NA,NA,0001,0002
0286,Thailand,June 8th  2016,thailand,2014,NA,0001,0001
0287,Colombia,November 21st  2015,huila,2014,Caturra,0001,0001
0288,Guatemala,February 27th  2015,huehuetenango,2014,Bourbon,0001,0001
0289,Colombia,October 29th  2014,huila supremo,2013,Caturra,0001,0001
0290,Colombia,August 16th  2014,huila,2013,Caturra,0001,0001
0291,Guatemala,May 30th  2014,oriente,2013,Bourbon,0001,0001
0292,Colombia,November 22nd  2013,huila,2012,Caturra,0001,0001
0293,Guatemala,August 23rd  2013,oriente,2012,Caturra,0001,0003
0294,Guatemala,July 9th  2013,oriente,2012,Bourbon,0001,0001
0295,Mexico,July 2nd  2013,xicotepec de juarez,2012,Typica,0001,0001
0296,Indonesia,May 23rd  2013,east java,2012,Typica,0001,0001
0297,Guatemala,April 30th  2013,sacatepequez  guatemala,2012,Caturra,0001,0001
0298,United States (Hawaii),April 20th  2012,NA,NA,NA,0001,0002
0299,Guatemala,July 5th  2017,huehuetenango,2016,Caturra,0001,0001
0300,Colombia,April 15th  2017,huila,2016,Caturra,0001,0001
0301,Mexico,May 11th  2016,chiapas  jaltenango,2014,Caturra,0001,0001
0302,Ethiopia,March 24th  2016,yirgacheffe,2014,Other,0001,0001
0303,Uganda,June 27th  2015,eastern,2013,SL14,0001,0001
0304,Colombia,June 24th  2015,cundinamarca,2014,Caturra,0001,0003
0305,Colombia,March 13th  2015,santander,2014,Caturra,0001,0001
0306,Colombia,March 21st  2015,santander,2014,Caturra,0001,0001
0307,Taiwan,December 26th  2014,taichung xinshe 台中市新社區,2013,Typica,0001,0006
0308,Colombia,August 31st  2013,huila,2012,Caturra,0001,0001
0309,Mexico,June 6th  2013,xalapa,2012,Typica,0001,0001
0310,Colombia,April 2nd  2013,cundinamarca,2012,Caturra,0001,0003
0311,Brazil,January 22nd  2013,south of minas,2012,Catuai,0001,0005
0312,Colombia,February 20th  2018,cundinamarca,2016,Caturra,0001,0001
0313,Taiwan,February 13th  2018,NA,2016,NA,0001,0002
0314,Colombia,April 7th  2017,pitalito,2016,Caturra,0001,0003
0315,Guatemala,March 16th  2017,oriente,2016,Bourbon,0001,0001
0316,Tanzania  United Republic Of,November 15th  2016,nkure- meru,2015,Ruiru 11,0001,0001
0317,Indonesia,September 13th  2016,bener meriah,2015,Sumatra,0001,0005
0318,Colombia,January 22nd  2016,huila,2014,Caturra,0001,0001
0319,Guatemala,December 18th  2015,atitlan,2013,Caturra,0001,0001
0320,Colombia,August 11th  2015,cundinamarca,2014,Caturra,0001,0001
0321,Honduras,April 8th  2015,comayagua,2014,Caturra,0001,0003
0322,Colombia,April 26th  2014,huila,2013,Caturra,0001,0001
0323,Colombia,May 24th  2014,huila,2013,Caturra,0001,0001
0324,Mexico,August 31st  2013,xalapa,2012,Bourbon,0001,0003
0325,Mexico,August 30th  2013,chilón,2012,Typica,0001,0005
0326,Mexico,July 11th  2013,totutla,2012,Pacamara,0001,0001
0327,Guatemala,April 30th  2013,atitlan,2012,Caturra,0001,0001
0328,Colombia,February 8th  2013,huila,2012,Caturra,0001,0001
0329,Guatemala,January 31st  2013,oriente,2012,Bourbon,0001,0001
0330,United States (Hawaii),March 7th  2012,NA,NA,NA,0001,0002
0331,Indonesia,November 29th  2011,bondowoso,2010,NA,0001,0002
0332,Guatemala,August 23rd  2018,san marcos,2017,Bourbon,0001,0001
0333,Colombia,May 10th  2018,huila,2016,Caturra,0001,0001
0334,Costa Rica,February 17th  2018,tarrazu,2016,Caturra,0001,0001
0335,Taiwan,February 13th  2018,NA,2015,NA,0001,0002
0336,Uganda,July 21st  2017,eastern,2015,SL14,0001,0001
0337,Thailand,June 27th  2017,thailand,2015,Catimor,0001,0001
0338,El Salvador,April 25th  2017,apaneca,2016,Bourbon,0001,0001
0339,Brazil,January 15th  2016,vale da grama,2014,Yellow Bourbon,0001,0005
0340,Tanzania  United Republic Of,December 12th  2015,karatu northern,2014,Bourbon,0001,0001
0341,Colombia,October 15th  2015,huila,2014,Caturra,0001,0001
0342,Guatemala,August 21st  2015,oriente,2013,Bourbon,0001,0003
0343,Guatemala,February 18th  2015,antigua,2014,Caturra,0001,0001
0344,Guatemala,July 16th  2014,oriente,2013,Bourbon,0001,0001
0345,Colombia,June 26th  2013,cundinamarca,2012,Caturra,0001,0001
0346,Colombia,February 1st  2012,huila,NA,NA,0001,0002
0347,Thailand,April 13th  2011,NA,NA,Peaberry,0001,0002
0348,Mexico,May 26th  2011,nayarit,,NA,0001,0002
0349,Colombia,November 8th  2017,huila,2016,Caturra,0001,0001
0350,Colombia,June 15th  2017,guayata,2016,Caturra,0001,0001
0351,Colombia,May 5th  2017,huila,2016,Caturra,0001,0001
0352,Brazil,October 11th  2016,south of minas,2015,Catuai,0001,0005
0353,Mexico,July 13th  2016,chiapas,2014,Caturra,0001,0001
0354,Tanzania  United Republic Of,December 12th  2015,arusha,2014,Other,0001,0005
0355,Mexico,July 15th  2015,veracruz,2013,Other,0001,0001
0356,Costa Rica,April 7th  2015,san ramon,2014,Caturra,0001,0001
0357,United States (Hawaii),February 25th  2015,kona,2014,Hawaiian Kona,0001,0003
0358,Costa Rica,February 14th  2015,central valley,2013,Catuai,0001,0001
0359,Peru,January 21st  2015,NA,2013,NA,0001,0001
0360,Haiti,October 3rd  2014,thiotte  haiti,2012,Typica,0001,0001
0361,Colombia,April 26th  2014,pitalito,2013,Caturra,0001,0003
0362,Burundi,August 29th  2013,kayanza,2012,Bourbon,0001,0001
0363,Colombia,May 30th  2013,huila,2012,Caturra,0001,0001
0364,United States (Hawaii),September 19th  2012,kona,NA,NA,0001,0002
0365,United States (Hawaii),February 24th  2012,NA,NA,NA,0001,0002
0366,Mexico,March 7th  2018,sierra madre occidental,2017,Typica,0001,0001
0367,Costa Rica,January 30th  2018,tarrazu,2016,Catuai,0001,0004
0368,Costa Rica,September 20th  2017,tarrazu,2015,NA,0001,0001
0369,Guatemala,August 12th  2017,nuevo oriente,2016,Pacas,0001,0001
0370,Uganda,May 19th  2017,sipi  mt elgon,2015,SL14,0001,0001
0371,Brazil,January 11th  2017,campos altos - cerrado,2016,NA,0001,0002
0372,Mexico,July 13th  2016,cuarenteño,2015,Typica,0001,0003
0373,Taiwan,June 17th  2016,natou county,2015,Bourbon,0001,0001
0374,Taiwan,November 23rd  2015,南投國姓,2014,Typica,0001,0001
0375,Colombia,June 24th  2015,eje cafetero,2014,Caturra,0001,0003
0376,Guatemala,March 7th  2015,antigua,2014,Caturra,0001,0001
0377,Colombia,August 2nd  2014,huila,2013,Caturra,0001,0001
0378,Mexico,March 29th  2014,chiapas,2013,Bourbon,0001,0001
0379,United States (Hawaii),March 21st  2014,kona,2012,Hawaiian Kona,0001,0003
0380,Mexico,August 1st  2013,veracruz,2012,Mundo Novo,0001,0001
0381,Mexico,July 11th  2013,fortín de las flores,2012,Caturra,0001,0001
0382,Brazil,February 22nd  2013,grama valley,2012,Yellow Bourbon,0001,0005
